manifest_version,selected,exclusion_reason,relative_path,file_name,file_size_bytes,acquisition_family,temperature_K,dtph,seconds,run_id,ccd,npumps,charge_shifts,voltage_low,voltage_high,nrow,ncol,nbinrow,nbincol,hdu_count,quadrants,hdu_shapes,datestart,dateend,delay_h_overlap,delay_integ_ped,delay_integ_sig,delay_rg_width,delay_swhigh,delay_v_overlap,delay_dg_low,delay_og_low,syncdelay
signed-refit-input-v1,1,,proc/proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph750_NPUMPS3000_2_194.fits,proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph750_NPUMPS3000_2_194.fits,33477120,temp_scan_run1,125,750,5e-05,194,2,3000,200000,-2.75,7.5,580,3600,1,1,4,0;1;2;3,580x3600;580x3600;580x3600;580x3600,2025-03-10T14:00:08,2025-03-10T14:09:24,150,270,245,15,12,300,15,5,0
signed-refit-input-v1,1,,proc/proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph1200_NPUMPS3000_2_195.fits,proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph1200_NPUMPS3000_2_195.fits,33477120,temp_scan_run1,125,1200,8e-05,195,2,3000,200000,-2.75,7.5,580,3600,1,1,4,0;1;2;3,580x3600;580x3600;580x3600;580x3600,2025-03-10T14:11:57,2025-03-10T14:21:14,150,270,245,15,12,300,15,5,0
signed-refit-input-v1,1,,proc/proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph2000_NPUMPS3000_2_196.fits,proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph2000_NPUMPS3000_2_196.fits,33477120,temp_scan_run1,125,2000,0.000133333333333,196,2,3000,200000,-2.75,7.5,580,3600,1,1,4,0;1;2;3,580x3600;580x3600;580x3600;580x3600,2025-03-10T14:23:49,2025-03-10T14:33:05,150,270,245,15,12,300,15,5,0
signed-refit-input-v1,1,,proc/proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph3000_NPUMPS3000_2_197.fits,proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph3000_NPUMPS3000_2_197.fits,33477120,temp_scan_run1,125,3000,0.0002,197,2,3000,200000,-2.75,7.5,580,3600,1,1,4,0;1;2;3,580x3600;580x3600;580x3600;580x3600,2025-03-10T14:35:44,2025-03-10T14:45:00,150,270,245,15,12,300,15,5,0
signed-refit-input-v1,1,,proc/proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph5000_NPUMPS3000_2_198.fits,proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph5000_NPUMPS3000_2_198.fits,33477120,temp_scan_run1,125,5000,0.000333333333333,198,2,3000,200000,-2.75,7.5,580,3600,1,1,4,0;1;2;3,580x3600;580x3600;580x3600;580x3600,2025-03-10T14:47:45,2025-03-10T14:57:02,150,270,245,15,12,300,15,5,0
signed-refit-input-v1,1,,proc/proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph8000_NPUMPS3000_2_199.fits,proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph8000_NPUMPS3000_2_199.fits,33477120,temp_scan_run1,125,8000,0.000533333333333,199,2,3000,200000,-2.75,7.5,580,3600,1,1,4,0;1;2;3,580x3600;580x3600;580x3600;580x3600,2025-03-10T14:59:56,2025-03-10T15:09:12,150,270,245,15,12,300,15,5,0
signed-refit-input-v1,1,,proc/proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph18000_NPUMPS3000_2_200.fits,proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph18000_NPUMPS3000_2_200.fits,33477120,temp_scan_run1,125,18000,0.0012,200,2,3000,200000,-2.75,7.5,580,3600,1,1,4,0;1;2;3,580x3600;580x3600;580x3600;580x3600,2025-03-10T15:12:39,2025-03-10T15:21:55,150,270,245,15,12,300,15,5,0
signed-refit-input-v1,1,,proc/proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph28000_NPUMPS3000_2_201.fits,proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph28000_NPUMPS3000_2_201.fits,33477120,temp_scan_run1,125,28000,0.00186666666667,201,2,3000,200000,-2.75,7.5,580,3600,1,1,4,0;1;2;3,580x3600;580x3600;580x3600;580x3600,2025-03-10T15:25:54,2025-03-10T15:35:10,150,270,245,15,12,300,15,5,0
signed-refit-input-v1,1,,proc/proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph45000_NPUMPS3000_2_202.fits,proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph45000_NPUMPS3000_2_202.fits,33477120,temp_scan_run1,125,45000,0.003,202,2,3000,200000,-2.75,7.5,580,3600,1,1,4,0;1;2;3,580x3600;580x3600;580x3600;580x3600,2025-03-10T15:40:03,2025-03-10T15:49:19,150,270,245,15,12,300,15,5,0
signed-refit-input-v1,1,,proc/proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph70000_NPUMPS3000_2_203.fits,proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph70000_NPUMPS3000_2_203.fits,33477120,temp_scan_run1,125,70000,0.00466666666667,203,2,3000,200000,-2.75,7.5,580,3600,1,1,4,0;1;2;3,580x3600;580x3600;580x3600;580x3600,2025-03-10T15:55:32,2025-03-10T16:04:49,150,270,245,15,12,300,15,5,0
signed-refit-input-v1,1,,proc/proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph100000_NPUMPS3000_2_204.fits,proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph100000_NPUMPS3000_2_204.fits,33477120,temp_scan_run1,125,100000,0.00666666666667,204,2,3000,200000,-2.75,7.5,580,3600,1,1,4,0;1;2;3,580x3600;580x3600;580x3600;580x3600,2025-03-10T16:12:38,2025-03-10T16:21:54,150,270,245,15,12,300,15,5,0
signed-refit-input-v1,1,,proc/proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph170000_NPUMPS3000_2_205.fits,proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph170000_NPUMPS3000_2_205.fits,33477120,temp_scan_run1,125,170000,0.0113333333333,205,2,3000,200000,-2.75,7.5,580,3600,1,1,4,0;1;2;3,580x3600;580x3600;580x3600;580x3600,2025-03-10T16:33:27,2025-03-10T16:42:43,150,270,245,15,12,300,15,5,0
signed-refit-input-v1,1,,proc/proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph260000_NPUMPS3000_2_206.fits,proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph260000_NPUMPS3000_2_206.fits,33477120,temp_scan_run1,125,260000,0.0173333333333,206,2,3000,200000,-2.75,7.5,580,3600,1,1,4,0;1;2;3,580x3600;580x3600;580x3600;580x3600,2025-03-10T16:59:04,2025-03-10T17:08:20,150,270,245,15,12,300,15,5,0
signed-refit-input-v1,1,,proc/proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph400000_NPUMPS3000_2_207.fits,proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph400000_NPUMPS3000_2_207.fits,33477120,temp_scan_run1,125,400000,0.0266666666667,207,2,3000,200000,-2.75,7.5,580,3600,1,1,4,0;1;2;3,580x3600;580x3600;580x3600;580x3600,2025-03-10T17:32:09,2025-03-10T17:41:26,150,270,245,15,12,300,15,5,0
signed-refit-input-v1,1,,proc/proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph650000_NPUMPS3000_2_208.fits,proc_skp_temp_scan_run1_125k_binned_NROW580_NBINROW1_NCOL3600_NBINCOL1_SC200000_vl-2.75_vh7.5_dtph650000_NPUMPS3000_2_208.fits,33477120,temp_scan_run1,125,650000,0.0433333333333,208,2,3000,200000,-2.75,7.5,580,3600,1,1,4,0;1;2;3,580x3600;580x3600;580x3600;580x3600,2025-03-10T18:18:35,2025-03-10T18:27:51,150,270,245,15,12,300,15,5,0
