temp,n,median,p16,p84
125,39,0.77828957,0.48422301,1.1153063
130,56,0.75440536,0.4609746,1.0547421
135,413,0.48826123,0.34610487,0.8450901
140,1570,0.76910034,0.4936871,1.0637525
145,2591,0.91922559,0.52489507,1.090896
150,2830,0.9051316,0.53875504,1.0764157
155,2688,0.87887958,0.55423976,1.0934761
160,2216,0.94672836,0.72095986,1.2399411
165,1379,0.86072489,0.56901727,1.0833263
170,933,0.94525604,0.70338831,1.2057485
175,641,0.77645567,0.50402403,1.037483
180,494,0.79130157,0.48989279,1.0247911
183,450,0.8059315,0.50178788,1.0249211
185,453,0.74414607,0.48019054,1.0134117
187,426,0.76842716,0.4994203,1.0046838
190,401,0.72498703,0.45739349,0.97986113
193,387,0.67253556,0.41552863,0.95698907
195,385,0.63246274,0.40463338,0.91078636
197,374,0.64040648,0.3816809,0.91300184
200,363,0.62493467,0.38521124,0.88917156
203,352,0.63391218,0.38430864,0.8826027
207,360,0.62236074,0.36738892,0.94066752
210,320,0.56892057,0.34606664,0.82143423
