temp,n,log10_coeff_log10_tau_corr
125,25,0.00044761518
130,41,-0.14580856
135,389,0.22691403
140,1444,0.46962026
145,2238,0.28643307
150,2354,0.074293499
155,2298,0.046349443
160,1967,0.13276896
165,1316,-0.0027539776
170,883,0.022313161
175,629,-0.092643603
180,485,-0.039207346
183,445,-0.02675378
185,445,-0.073537288
187,426,-0.031488717
190,400,0.0040756192
193,386,-0.010395933
195,382,-0.046768988
197,367,0.018602317
200,360,0.20081749
203,340,0.24366755
207,319,0.20624373
210,314,0.13427742
