group,temp,n,median,p16,p84
geometric_mean,125,25,0.97208458,0.72873263,1.2197631
geometric_mean,130,41,0.93528916,0.77487019,1.1407735
geometric_mean,135,389,0.5781617,0.44691707,0.9544732
geometric_mean,140,1444,0.91796319,0.73283362,1.1348392
geometric_mean,145,2238,1.0088508,0.87883035,1.1938709
geometric_mean,150,2354,1.0330892,0.90918256,1.1989237
geometric_mean,155,2298,1.0360368,0.94077586,1.2031639
geometric_mean,160,1967,1.203685,0.960308,1.4935767
geometric_mean,165,1316,1.0320144,0.89887659,1.1974751
geometric_mean,170,883,1.1957798,1.010373,1.465179
geometric_mean,175,629,1.0312137,0.84373866,1.1443907
geometric_mean,180,485,1.0216878,0.86695308,1.1280111
geometric_mean,183,445,1.014219,0.8853974,1.1035741
geometric_mean,185,445,1.0061491,0.84857771,1.0915998
geometric_mean,187,426,1.002793,0.85841437,1.0769488
geometric_mean,190,400,0.97366234,0.82082964,1.0503792
geometric_mean,193,386,0.94075422,0.73636077,1.0338846
geometric_mean,195,382,0.88880436,0.71842733,0.97975617
geometric_mean,197,367,0.88833535,0.70646782,0.99877989
geometric_mean,200,360,0.84945507,0.67811,0.99385676
geometric_mean,203,340,0.82581083,0.68137051,1.0260231
geometric_mean,207,319,0.77524522,0.63496729,1.0759363
geometric_mean,210,314,0.7336783,0.59569748,0.98668874
median,125,25,0.91811683,0.68968046,1.0735371
median,130,41,0.91502908,0.72493672,1.0307327
median,135,389,0.52642043,0.38418384,0.97829937
median,140,1444,0.89900536,0.70023819,1.1027796
median,145,2238,1,0.89442166,1.1295222
median,150,2354,1.0033375,0.94639859,1.1155352
median,155,2298,1.024055,0.96196374,1.129155
median,160,1967,1.1779169,0.95204763,1.5146476
median,165,1316,1.0105255,0.90282506,1.162057
median,170,883,1.1756235,0.99773688,1.47022
median,175,629,1.0100937,0.82643789,1.1119951
median,180,485,1.0086065,0.85815866,1.0831614
median,183,445,1.0006429,0.88469381,1.0483212
median,185,445,0.99816944,0.86293656,1.044082
median,187,426,0.98702849,0.8687846,1.0369743
median,190,400,0.95573945,0.84295572,1.0129845
median,193,386,0.92399102,0.77538304,1.0080018
median,195,382,0.87459886,0.7148557,0.97370663
median,197,367,0.87523162,0.70307956,0.99740756
median,200,360,0.84172878,0.67032577,0.99963285
median,203,340,0.81151967,0.65904417,1.0127589
median,207,319,0.77710384,0.60661856,1.0224804
median,210,314,0.72276175,0.57429177,0.99668569
max,125,25,0.75263258,0.54576197,0.92300384
max,130,41,0.76907788,0.55572347,0.90254365
max,135,389,0.42716068,0.30682652,0.74700719
max,140,1444,0.71675681,0.53630611,0.95225562
max,145,2238,0.82150544,0.62560119,0.99132483
max,150,2354,0.83482276,0.66402119,0.97475154
max,155,2298,0.84314647,0.69285354,0.95718517
max,160,1967,1,0.78862602,1
max,165,1316,0.83129559,0.66483109,0.94205885
max,170,883,0.93424745,0.7801814,1
max,175,629,0.78111844,0.57887974,0.91818102
max,180,485,0.7707278,0.55045273,0.91462613
max,183,445,0.76268387,0.55233194,0.9127897
max,185,445,0.7541056,0.53297651,0.90543957
max,187,426,0.75612424,0.52865031,0.91207313
max,190,400,0.73536501,0.49289589,0.8955024
max,193,386,0.71160322,0.42454108,0.88563779
max,195,382,0.66087842,0.44017759,0.82392754
max,197,367,0.66274754,0.39229632,0.86139538
max,200,360,0.63141057,0.39007925,0.8432735
max,203,340,0.62646095,0.40013295,0.87725752
max,207,319,0.60444493,0.394275,0.87606676
max,210,314,0.55724018,0.35005967,0.8269458
