temp,n,median,p16,p84
125,25,0.97208458,0.72873263,1.2197631
130,41,0.93528916,0.77487019,1.1407735
135,389,0.5781617,0.44691707,0.9544732
140,1444,0.91796319,0.73283362,1.1348392
145,2238,1.0088508,0.87883035,1.1938709
150,2354,1.0330892,0.90918256,1.1989237
155,2298,1.0360368,0.94077586,1.2031639
160,1967,1.203685,0.960308,1.4935767
165,1316,1.0320144,0.89887659,1.1974751
170,883,1.1957798,1.010373,1.465179
175,629,1.0312137,0.84373866,1.1443907
180,485,1.0216878,0.86695308,1.1280111
183,445,1.014219,0.8853974,1.1035741
185,445,1.0061491,0.84857771,1.0915998
187,426,1.002793,0.85841437,1.0769488
190,400,0.97366234,0.82082964,1.0503792
193,386,0.94075422,0.73636077,1.0338846
195,382,0.88880436,0.71842733,0.97975617
197,367,0.88833535,0.70646782,0.99877989
200,360,0.84945507,0.67811,0.99385676
203,340,0.82581083,0.68137051,1.0260231
207,319,0.77524522,0.63496729,1.0759363
210,314,0.7336783,0.59569748,0.98668874
