group,temp,n,median,p16,p84
quad_0,125,8,0.9290947,0.73632125,1.3847402
quad_0,130,16,0.91231394,0.60433776,1.1983443
quad_0,135,147,0.58745799,0.44161968,0.98360804
quad_0,140,412,0.94668291,0.77346591,1.1384629
quad_0,145,607,1.0299677,0.89542293,1.2237557
quad_0,150,629,1.0475033,0.91822511,1.2144208
quad_0,155,603,1.0371224,0.94552175,1.2086729
quad_0,160,508,1.1913057,0.97003012,1.5149761
quad_0,165,351,1.002434,0.88325184,1.1808895
quad_0,170,242,1.1755487,0.99934898,1.4846212
quad_0,175,169,0.97888636,0.78958638,1.140441
quad_0,180,116,0.98853474,0.81783065,1.1285126
quad_0,183,105,1.0076219,0.84786758,1.1087613
quad_0,185,102,0.98818863,0.8026929,1.0884473
quad_0,187,98,0.97791572,0.84815689,1.0571672
quad_0,190,96,0.95288146,0.81812105,1.069566
quad_0,193,88,0.92353259,0.78700838,1.0406911
quad_0,195,85,0.86729609,0.75505071,0.97116871
quad_0,197,77,0.86134617,0.73865842,1.0044193
quad_0,200,79,0.82203824,0.67899122,0.98891807
quad_0,203,72,0.78426655,0.65046453,1.0515687
quad_0,207,65,0.7458069,0.61799008,1.1539423
quad_0,210,69,0.69263529,0.59676739,0.97330057
quad_1,125,4,0.99770304,0.77948944,1.2307991
quad_1,130,9,0.85547466,0.74905051,0.95638104
quad_1,135,104,0.58302942,0.45303479,0.99607977
quad_1,140,441,0.87676105,0.70795717,1.1148206
quad_1,145,718,1.0065557,0.86672746,1.1943147
quad_1,150,763,1.0313931,0.90410017,1.2171031
quad_1,155,759,1.0459022,0.94027226,1.2294856
quad_1,160,672,1.2084436,0.96869007,1.4882996
quad_1,165,452,1.0633129,0.9301212,1.2209501
quad_1,170,296,1.2073359,1.030742,1.4665555
quad_1,175,216,1.0637547,0.92535089,1.158403
quad_1,180,180,1.0458712,0.95247716,1.1351128
quad_1,183,166,1.0254001,0.9215534,1.1135814
quad_1,185,172,1.0200341,0.88602172,1.0968402
quad_1,187,156,1.0171951,0.87543054,1.0769763
quad_1,190,146,0.97942096,0.81717056,1.0419899
quad_1,193,144,0.94048064,0.72382881,1.0092467
quad_1,195,147,0.89282184,0.70113784,0.98112937
quad_1,197,144,0.86355372,0.63465271,0.97315435
quad_1,200,136,0.82819054,0.64073013,0.94069089
quad_1,203,121,0.79790185,0.65199247,0.93805631
quad_1,207,115,0.74586161,0.62428491,0.90423259
quad_1,210,120,0.71682508,0.57210223,0.82228396
quad_2,125,8,0.86058527,0.70923705,0.97493995
quad_2,130,9,0.94781084,0.88198764,1.0356554
quad_2,135,44,0.62072441,0.49207564,1.0562972
quad_2,140,248,0.90667265,0.70549183,1.1427457
quad_2,145,422,0.99855027,0.87121341,1.1910817
quad_2,150,449,1.0222918,0.90140219,1.1828265
quad_2,155,444,1.0213536,0.93417639,1.1814008
quad_2,160,376,1.208069,0.94502886,1.4770087
quad_2,165,237,1.0337078,0.91179741,1.1859302
quad_2,170,154,1.1976146,0.98555801,1.4454472
quad_2,175,120,1.0362797,0.8968988,1.1311892
quad_2,180,100,1.0227914,0.90332858,1.1166854
quad_2,183,98,1.0130791,0.89365777,1.0919981
quad_2,185,98,1.010872,0.89420015,1.0926507
quad_2,187,98,1.0132716,0.89409821,1.0802459
quad_2,190,93,0.98930773,0.84446383,1.0460992
quad_2,193,88,0.9635594,0.75969227,1.0426831
quad_2,195,83,0.92701116,0.74460741,1.0001679
quad_2,197,85,0.92338969,0.75304171,1.007423
quad_2,200,85,0.88604901,0.73401838,1.0140007
quad_2,203,86,0.87401131,0.71983953,1.0254339
quad_2,207,86,0.83890487,0.71194376,1.0785118
quad_2,210,80,0.79763594,0.62813042,1.0249393
quad_3,125,5,1.084046,0.9559281,1.1649054
quad_3,130,7,0.99361986,0.90056763,1.1553213
quad_3,135,94,0.56853755,0.43515719,0.87064793
quad_3,140,343,0.93756527,0.74929835,1.133715
quad_3,145,491,0.99954786,0.88748617,1.1649731
quad_3,150,513,1.0321339,0.9228748,1.1695916
quad_3,155,492,1.0366986,0.94083409,1.1899767
quad_3,160,411,1.1966627,0.9661438,1.4917268
quad_3,165,276,1.0108566,0.89294711,1.1883646
quad_3,170,191,1.195155,1.0255211,1.460546
quad_3,175,124,0.99584288,0.77894315,1.1352942
quad_3,180,89,0.98215846,0.7525282,1.1245521
quad_3,183,76,0.96791654,0.7983198,1.0866803
quad_3,185,73,0.97416294,0.7902202,1.0748533
quad_3,187,74,0.98462387,0.84047748,1.0884531
quad_3,190,65,0.98967591,0.81556163,1.0545932
quad_3,193,66,0.94544786,0.74215932,1.0373358
quad_3,195,67,0.88166211,0.70733558,0.96264255
quad_3,197,61,0.89449426,0.74009427,1.1013659
quad_3,200,60,0.8767276,0.72628451,1.121609
quad_3,203,61,0.86279066,0.69030421,1.17398
quad_3,207,53,0.87045776,0.66402761,1.1274059
quad_3,210,45,0.82859274,0.63668977,1.2496451
