quad,row,col,trap_energy,gmean_coeff,log_coeff_slope_per_K,n_points
0,100,25,0.29641348,1.0185413,0.0092997567,6
0,100,2642,0.21574661,0.73803148,0.039890408,5
0,101,25,0.35875879,0.56428216,0.0064626766,4
0,102,1932,0.32654136,0.80135531,0.0058686226,4
0,103,2110,0.29640294,0.90787472,-0.014638146,11
0,103,2417,0.091844918,0.87538267,0.0034095439,5
0,104,2640,0.18210699,0.88750116,0.018719867,4
0,105,2653,0.17708221,0.69510784,0.018403312,6
0,107,1000,0.51378464,1.0280314,-0.00064994742,7
0,107,1581,0.18566653,0.59095316,0.018250866,7
0,108,176,0.51092804,1.1384169,-0.054209309,5
0,109,176,0.41798509,0.5319192,0.017464339,5
0,109,2889,0.21110006,0.71902724,0.028777028,6
0,109,2983,0.19508706,0.43968543,0.061490678,4
0,10,413,0.28844588,0.89441613,-0.0099445695,10
0,110,1901,1.4136387e-27,0.76164973,-0.0043715414,8
0,110,2983,0.34222731,0.30232639,0.019880123,7
0,111,1343,0.1862696,0.43842769,0.012332514,4
0,111,1510,0.30226563,0.53784645,-0.014709758,20
0,111,941,0.26417535,0.45729594,-0.0061374176,6
0,114,1192,0.30979708,0.9421882,-0.0071460204,6
0,114,625,0.14548799,0.65236458,0.0097569402,6
0,115,1192,0.32064095,0.62235825,0.015340184,4
0,116,1468,0.27853754,0.57417816,-0.0082761818,8
0,117,178,0.31116762,0.9043685,-0.0031972367,12
0,117,2163,0.33443267,0.69477677,-0.011940169,19
0,119,2632,0.23978487,1.1754467,0.0032598729,5
0,119,41,0.29977291,0.94903383,-0.0092681897,14
0,11,748,0.37095568,1.1121443,0.003429981,5
0,120,593,0.26529934,0.95933098,0.028911078,7
0,121,1057,0.32105168,0.9588892,-0.018927269,5
0,121,1955,0.29326095,0.5765383,-0.0088600684,21
0,121,593,0.28051543,0.6444355,0.009799376,7
0,121,625,0.22674683,0.77347752,0.032478791,6
0,122,1907,0.22528633,0.80349543,0.021256213,4
0,124,628,0.35942125,0.67382463,-0.015806153,12
0,12,1904,0.25715356,0.62667574,-0.0094160062,9
0,130,563,0.30363309,1.0764929,0.00065266542,7
0,131,563,0.31093576,0.53073325,0.013834009,5
0,131,820,0.17868358,0.51408885,0.012280155,7
0,133,1496,0.25544316,0.88334639,0.012227391,6
0,134,1288,0.15443249,0.4479826,0.0031409654,7
0,134,1496,0.15042095,0.52473273,0.039719573,4
0,134,3060,0.28579279,1.0307146,-0.00077836096,8
0,135,3060,0.28714975,0.52052686,-0.002794721,5
0,137,1641,0.24495783,0.78921727,0.014171626,5
0,138,1641,0.21021315,0.42907075,0.037388209,4
0,139,1661,0.23308091,0.84001321,0.026256823,6
0,13,2468,0.29813581,0.30929588,-0.0076170893,4
0,140,774,0.21226497,0.60074246,0.0050900369,10
0,141,774,0.16916836,0.45731216,0.020793398,7
0,142,2720,4.1366443e-20,0.62881867,0.010412575,8
